代號,名稱,年月,分類,資本適足率,股本,資產,權益,稅前損益,授信總額,存款,放款,權益比率,資產報酬率(稅前),存放比率,催收款,逾期放款,甲類逾期放款,乙類逾期放款,放款(含催收款),逾放比率,備抵呆帳,備抵呆帳覆蓋率,收益總計,費損總計,淨收益,利息收入,利息費用,淨利息總收益比,風險承受性
2897,王道銀行,2020/12,風險承受度稍弱,12.67,30330,328853,35556,1233,202826,253374,165396,10.81,0.37,65.28,705,705,688,17,166100,0.42,2183,3.10 ,8761,8183,578,2309,1485,1.425605536,0.001757624
5827,華泰銀行,2020/12,風險承受度稍弱,12.34,9738,153904,10387,342,89043,138008,88632,6.75,0.22,64.22,63,68,63,5,88695,0.08,1193,17.54 ,2575,2294,281,1920,744,4.185053381,0.001825813
5830,三信銀行,2020/12,風險承受度稍弱,13.07,9251,179930,12527,855,123637,162045,121237,6.96,0.48,74.82,177,243,100,143,121414,0.2,1712,7.05 ,3651,2810,841,3318,887,2.890606421,0.00467404
5835,國泰世華,2020/12,表現穩健,16.91,106986,3124395,242297,25022,1643666,2575542,1618810,7.76,0.8,62.85,1785,2274,1779,495,1620594,0.14,26846,11.81 ,94630,80466,14164,31343,9538,1.539466252,0.004533358
5836,台北富邦銀,2020/12,表現穩健,16.47,122562,2809453,219121,21226,1465754,2131853,1425970,7.8,0.76,66.89,1936,2317,2077,240,1427906,0.16,17992,7.77 ,70918,60274,10644,24450,11248,1.240323187,0.003788638
5838,華銀,2020/12,風險承受度稍弱,13.67,85915,3068786,201984,14479,1872928,2528365,1803357,6.58,0.47,71.33,2259,2682,2380,303,1805616,0.15,21318,7.95 ,57679,46680,10999,28085,9574,1.682971179,0.003584153
5841,中信銀,2020/12,表現穩健,14.93,147962,3763490,312300,31910,2050971,3068834,1937292,8.3,0.85,63.13,2523,4470,3029,1442,1939815,0.23,26565,5.94 ,124915,106612,18303,35535,10935,1.34404196,0.004863305
5843,兆豐商銀,2020/12,風險承受度稍弱,14.04,85362,3435439,294640,23298,2060655,2593118,1895287,8.58,0.68,73.09,3770,3977,3839,138,1899057,0.21,28857,7.26 ,41922,31711,10211,23750,9594,1.386348056,0.002972255
5844,一銀,2020/12,風險承受度稍弱,13.63,89064,3422034,219313,18356,2006556,2694803,1910182,6.41,0.54,70.88,4171,4500,4223,277,1914353,0.24,23728,5.27 ,142874,132547,10327,28136,10370,1.720344727,0.003017796
5847,玉山銀,2020/12,表現穩健,15.64,95241,2885979,177692,18810,1643272,2442181,1600548,6.16,0.65,65.54,2304,3045,2719,326,1602852,0.19,19985,6.56 ,65962,56969,8993,25664,10023,1.739241632,0.0031161
5848,台新銀,2020/12,表現穩健,16.28,86957,2140384,162188,14056,1332653,1635916,1258964,7.58,0.66,76.96,1769,1920,1516,404,1260733,0.15,16425,8.55 ,71319,63058,8261,24025,9041,1.813823992,0.003859588
5849,永豐銀行,2020/12,表現穩健,15.89,86061,1983297,139695,11044,1168767,1637211,1124873,7.04,0.56,68.71,949,1558,1172,386,1125822,0.14,14607,9.38 ,44237,39680,4557,17296,8609,1.906298003,0.002297689
5850,日盛銀行,2020/12,表現穩健,15.81,18121,273365,22976,1083,169890,239631,167386,8.4,0.4,69.85,326,418,330,87,167712,0.25,2146,5.13 ,5673,4962,711,3075,1122,2.746835443,0.002600918
5852,元大銀,2020/12,表現穩健,16.98,73940,1434281,123943,8019,789933,1241712,771318,8.64,0.56,62.12,834,943,864,78,772152,0.12,11620,12.32 ,32813,28030,4783,14504,5799,1.819987456,0.003334772
5854,合庫,2020/12,表現穩健,15.42,104507,3898350,241389,17238,2400899,3271646,2287381,6.19,0.44,69.92,6565,6745,6467,277,2293946,0.29,29001,4.30 ,68567,57549,11018,40059,15120,2.263477945,0.002826324
5857,土銀,2020/12,風險承受度稍弱,12.89,73200,3115808,175350,10929,2171822,2688353,2111513,5.63,0.35,78.54,2900,3244,2783,461,2114413,0.15,34550,10.65 ,49621,41694,7927,36071,13818,2.807241075,0.002544123
5858,臺銀,2020/12,表現穩健,14.95,109000,5399031,383048,12274,3022852,4172465,2910679,7.09,0.23,69.76,3195,4479,2865,1614,2913875,0.15,44666,9.97 ,306930,299676,7254,43689,24247,2.680176454,0.001343574
5862,板信銀,2020/12,風險承受度稍弱,11.21,15087,270705,17669,1125,187038,241404,180797,6.53,0.42,74.89,472,479,478,2,181269,0.26,2117,4.42 ,5033,4472,561,3503,1478,3.609625668,0.002072367
5863,瑞興銀,2020/12,風險承受度稍弱,12.68,3139,89463,5595,251,51726,71134,51118,6.25,0.28,71.86,64,69,65,4,51182,0.14,588,8.52 ,1616,1433,183,1368,483,4.836065574,0.002045538
5870,花旗台灣,2020/12,表現穩健,16.70,66033,849485,104723,9759,326253,631773,305759,12.33,1.15,48.4,120,1223,394,829,305879,0.4,5662,4.63 ,25499,18248,7251,10746,1091,1.331540477,0.00853576
5872,匯豐台灣,2020/12,表現穩健,15.09,34800,683325,49094,3676,309977,465143,256981,7.18,0.54,55.25,37,85,39,46,257018,0.03,3330,39.18 ,15481,11932,3549,5571,2607,0.835164835,0.005193722
5875,星展台灣,2020/12,風險承受度稍弱,14.87,32250,415638,35682,941,289334,350736,255401,8.58,0.23,72.82,640,1177,969,208,256040,0.46,3395,2.88 ,11299,10665,634,6674,1840,7.624605678,0.001525366
5876,上海商銀,2020/12,風險承受度稍弱,13.36,44816,1355487,154469,14576,867752,1039397,767605,11.4,1.08,73.85,1594,1652,1482,170,769199,0.21,9757,5.91 ,30339,19145,11194,13987,5696,0.740664642,0.008258287
62WNK,樂天銀行,2020/12,#N/A,#N/A,10000,9850,9781,-274,0,0,0,99.3,-2.78,0,0,0,0,0,0,0,0,#DIV/0!,51,324,-273,51,0,-0.186813187,-0.027715736
2801,彰銀,2020/11,風險承受度稍弱,14.38,103847,2275386,164411,7716,1549489,1892128,1472069,7.23,0.34,77.8,5335,6202,5401,801,1477405,0.42,18716,3.02 ,47205,41123,6082,20678,7984,2.087142387,0.002672953
2807,渣打銀行,2020/11,風險承受度稍弱,14.03,29106,683028,46542,2721,297141,587437,285290,6.81,0.4,48.57,135,296,164,132,285425,0.1,4844,16.36 ,16654,14869,1785,6582,2320,2.38767507,0.002613363
2809,京城銀,2020/11,表現穩健,16.15,11212,318491,45599,5518,190411,215915,181837,14.32,1.73,84.22,16,25,16,9,181854,0.01,2788,111.52 ,7875,3963,3912,3554,927,0.671523517,0.012282922
2812,台中銀,2020/11,風險承受度稍弱,13.60,39414,710916,54883,4250,481430,625379,458165,7.72,0.6,73.26,1243,1424,1249,175,459408,0.31,6756,4.74 ,13218,9813,3405,9686,3360,1.857856094,0.004789595
2834,臺企銀,2020/11,風險承受度稍弱,13.42,74886,1753362,98131,4740,1215731,1463726,1189138,5.6,0.27,81.24,5694,6167,5941,226,1194832,0.52,14120,2.29 ,25922,23974,1948,18026,7285,5.51386037,0.001111008
2836,高雄銀,2020/11,風險承受度稍弱,12.42,11296,271688,16283,818,182632,225900,178044,5.99,0.3,78.82,523,664,523,141,178567,0.37,2103,3.17 ,4338,3864,474,2904,1433,3.103375527,0.001744648
2837,凱基銀行,2020/11,風險承受度稍弱,14.81,46062,770561,66089,4268,418023,498859,377156,8.58,0.55,75.6,479,592,499,93,377635,0.16,4925,8.32 ,69482,68125,1357,7643,3077,3.364775239,0.001761055
2838,聯邦銀,2020/11,風險承受度稍弱,14.80,32934,762190,59504,3437,447802,596897,423754,7.81,0.45,70.99,422,620,551,69,424176,0.15,4743,7.65 ,15993,13920,2073,8714,3297,2.613121081,0.002719794
2845,遠東銀,2020/11,風險承受度稍弱,14.10,34481,696519,48889,3111,431970,593522,398787,7.02,0.45,67.19,1284,2447,2269,178,400071,0.61,5648,2.31 ,15910,14523,1387,7361,3579,2.726748378,0.001991331
2849,安泰銀,2020/11,表現穩健,16.32,19579,308121,34152,2114,218515,260886,200610,11.08,0.69,76.9,1805,1824,1777,47,202415,0.9,2745,1.50 ,6573,5032,1541,3891,1749,1.390006489,0.005001282
2893,新光銀行,2020/11,表現穩健,16.87,46331,1032586,69500,6238,657491,897440,635082,6.73,0.6,70.77,905,1230,1112,118,635986,0.19,8262,6.72 ,26965,23050,3915,12244,4272,2.036270754,0.003791452
28944,中輸銀,2020/11,表現穩健,29.55,31711,151095,34976,768,166525,0,143429,23.15,0.51,0,11,50,50,0,143441,0.03,1975,39.50 ,1511,1296,215,759,118,2.981395349,0.001422946
2895,陽信銀,2020/11,風險承受度稍弱,13.08,28169,595951,37166,3636,383778,516616,379223,6.24,0.61,73.41,1306,1408,1331,77,380529,0.37,4609,3.27 ,10408,7104,3304,7889,3313,1.384987893,0.00554408
2897,王道銀行,2020/11,風險承受度稍弱,12.67,30330,335909,35435,1198,203204,261391,168048,10.55,0.36,64.29,870,870,853,16,168918,0.51,2431,2.79 ,7867,7363,504,2121,1379,1.472222222,0.001500406
5827,華泰銀行,2020/11,風險承受度稍弱,12.34,9738,153582,10359,322,87070,137975,86641,6.74,0.21,62.79,65,86,65,21,86706,0.1,1165,13.55 ,2335,2071,264,1763,689,4.068181818,0.001718951
5830,三信銀行,2020/11,風險承受度稍弱,13.07,9251,177517,12479,785,123163,158897,120746,7.03,0.44,75.99,212,273,155,118,120958,0.23,1754,6.42 ,3355,2583,772,3047,821,2.883419689,0.004348879
5835,國泰世華,2020/11,表現穩健,16.91,106986,3097230,241495,24705,1623842,2533740,1598523,7.8,0.8,63.09,1991,2499,2004,495,1600514,0.16,26912,10.77 ,82784,68394,14390,28666,8914,1.372619875,0.004646087
5836,台北富邦銀,2020/11,表現穩健,16.47,119124,2690494,212262,20615,1444909,2061088,1405121,7.89,0.77,68.17,1886,2173,1904,269,1407007,0.15,17758,8.17 ,65972,55217,10755,22442,10525,1.108042771,0.003997407
5838,華銀,2020/11,風險承受度稍弱,13.67,85915,2928640,200674,12974,1857907,2448000,1786021,6.85,0.44,72.96,2158,2654,2355,299,1788179,0.15,21148,7.97 ,50939,41057,9882,25733,8910,1.702388181,0.003374262
5841,中信銀,2020/11,表現穩健,14.93,147962,3737381,309755,29586,2106159,2995542,2002961,8.29,0.79,66.86,2511,3630,2293,1337,2005473,0.18,26324,7.25 ,116247,99534,16713,32557,10172,1.339376533,0.004471848
5843,兆豐商銀,2020/11,風險承受度稍弱,14.04,85362,3602485,293339,21343,2063561,2537736,1900617,8.14,0.59,74.89,4259,4917,4639,278,1904875,0.26,29632,6.03 ,38268,29322,8946,21800,8997,1.43114241,0.002483286
5844,一銀,2020/11,風險承受度稍弱,13.63,89064,3344247,220087,17551,1993834,2650294,1894638,6.58,0.52,71.49,4155,4199,3855,344,1898793,0.22,22672,5.40 ,121719,111732,9987,25788,9655,1.61540002,0.002986322
5847,玉山銀,2020/11,表現穩健,15.64,95241,2767436,176651,17744,1628521,2333712,1587298,6.38,0.64,68.02,2184,3221,2872,350,1589482,0.2,19615,6.09 ,59454,50892,8562,23523,9349,1.655454333,0.003093838
5848,台新銀,2020/11,表現穩健,16.28,86957,2125473,161629,13845,1312919,1632639,1246775,7.6,0.65,76.37,1833,2000,1589,411,1248609,0.16,16286,8.14 ,65616,57141,8475,22080,8449,1.608377581,0.003987348
5849,永豐銀行,2020/11,表現穩健,15.89,86061,1973294,138757,10438,1186387,1614375,1146119,7.03,0.53,70.99,1277,1891,1468,423,1147396,0.16,14630,7.74 ,40560,36035,4525,15876,8017,1.73679558,0.00229312
5850,日盛銀行,2020/11,表現穩健,15.81,18121,272344,22924,1015,169601,235148,166947,8.42,0.37,71,343,447,350,98,167290,0.27,2127,4.76 ,5293,4573,720,2827,1055,2.461111111,0.002643715
5852,元大銀,2020/11,表現穩健,16.98,73940,1421376,124785,8705,774867,1234285,755536,8.78,0.61,61.21,896,949,851,98,756432,0.13,12433,13.10 ,30671,25373,5298,13323,5414,1.492827482,0.003727374
5854,合庫,2020/11,表現穩健,15.42,104507,3844763,241217,15782,2427167,3218678,2309674,6.27,0.41,71.76,7232,7186,6771,415,2316906,0.31,28814,4.01 ,62078,51963,10115,36755,14063,2.24340089,0.002630851
5857,土銀,2020/11,風險承受度稍弱,12.89,73200,3080612,175894,10319,2159345,2619119,2098548,5.71,0.33,80.12,3127,3520,3080,440,2101675,0.17,34366,9.76 ,45048,37498,7550,33049,12813,2.680264901,0.002450812
5858,臺銀,2020/11,表現穩健,14.95,109000,5364088,382215,10723,3012617,4125164,2896961,7.13,0.2,70.23,3425,4841,3127,1715,2900385,0.17,44272,9.15 ,275073,269141,5932,39653,22534,2.88587323,0.001105873
5862,板信銀,2020/11,風險承受度稍弱,11.21,15087,266368,17567,1046,182439,234488,177594,6.6,0.39,75.74,532,559,537,21,178126,0.31,2108,3.77 ,4617,4045,572,3197,1370,3.194055944,0.002147405
5863,瑞興銀,2020/11,風險承受度稍弱,12.68,3139,91979,5561,213,52224,71486,51786,6.05,0.23,72.44,94,100,96,5,51880,0.19,595,5.95 ,1494,1344,150,1259,450,5.393333333,0.001630807
5870,花旗台灣,2020/11,表現穩健,16.70,66033,872308,104365,9268,328301,702763,311366,11.96,1.06,44.31,125,1182,350,833,311490,0.38,5650,4.78 ,23610,16726,6884,9900,1024,1.289366647,0.007891708
5872,匯豐台灣,2020/11,表現穩健,15.09,34800,636844,50619,3728,293476,443797,250936,7.95,0.59,56.54,38,90,40,49,250974,0.04,3273,36.37 ,14315,10733,3582,5182,2495,0.750139587,0.005624611
5875,星展台灣,2020/11,風險承受度稍弱,14.87,32250,421978,35509,714,298571,351283,267482,8.41,0.17,76.14,631,997,782,215,268114,0.37,3507,3.52 ,10534,10094,440,6166,1727,10.08863636,0.001042708
5876,上海商銀,2020/11,風險承受度稍弱,13.36,44816,1363562,153645,13549,871559,1040618,771645,11.27,0.99,74.15,1573,1681,1526,155,773218,0.22,9787,5.82 ,27447,17096,10351,12875,5304,0.731426915,0.007591147
2801,彰銀,2020/10,風險承受度稍弱,14.38,103847,2252782,163864,7286,1542171,1864461,1459882,7.27,0.32,78.3,5232,6009,5171,837,1465114,0.41,18275,3.04 ,44490,38562,5928,18904,7411,1.938765182,0.002631413
2807,渣打銀行,2020/10,風險承受度稍弱,14.03,29106,686950,46406,2586,297330,576129,286272,6.76,0.38,49.69,131,279,160,119,286403,0.1,4847,17.37 ,14681,12810,1871,6196,2321,2.071084981,0.002723633
2809,京城銀,2020/10,表現穩健,16.15,11212,312455,43480,4799,184022,213681,177709,13.92,1.54,83.17,18,27,18,9,177728,0.02,2689,99.59 ,6970,3604,3366,3228,858,0.704099822,0.010772751
2812,台中銀,2020/10,風險承受度稍弱,13.60,39017,711429,53932,3825,478100,621180,455511,7.58,0.54,73.33,1335,1504,1337,167,456846,0.33,6732,4.48 ,11915,8861,3054,8829,3084,1.881139489,0.004292768
2834,臺企銀,2020/10,風險承受度稍弱,13.42,74886,1757115,97179,4259,1221817,1466607,1197114,5.53,0.24,81.62,4177,7755,7477,278,1201291,0.65,15523,2.00 ,23907,22073,1834,16417,6750,5.270992366,0.001043756
2836,高雄銀,2020/10,風險承受度稍弱,12.42,10809,273054,16247,748,181349,225786,176886,5.95,0.27,78.34,464,620,464,156,177350,0.35,2068,3.34 ,3986,3530,456,2649,1329,2.894736842,0.001669999
2837,凱基銀行,2020/10,風險承受度稍弱,14.81,46062,749523,64502,3945,410742,481926,370352,8.61,0.53,76.85,475,582,502,80,370827,0.16,4775,8.20 ,67308,66075,1233,6949,2869,3.309002433,0.001645046
2838,聯邦銀,2020/10,風險承受度稍弱,14.80,32934,777034,57519,3089,448342,591967,425913,7.4,0.4,71.95,407,581,531,51,426319,0.14,4661,8.02 ,14406,12550,1856,7947,3036,2.646012931,0.00238857
2845,遠東銀,2020/10,風險承受度稍弱,14.10,34481,677718,48538,2790,434475,568898,400943,7.16,0.41,70.48,1309,1987,1824,163,402252,0.49,5649,2.84 ,14508,13240,1268,6712,3309,2.683753943,0.001870985
2849,安泰銀,2020/10,表現穩健,16.32,19579,308587,33994,1992,214055,262018,195911,11.02,0.65,74.77,2312,2341,2270,71,198223,1.18,3098,1.32 ,6054,4619,1435,3560,1632,1.343554007,0.004650228
2893,新光銀行,2020/10,表現穩健,16.87,46331,1013237,68795,5749,654510,891480,633076,6.79,0.57,71.01,848,1218,1090,127,633923,0.19,8165,6.70 ,24347,20729,3618,11162,3950,1.993366501,0.003570734
28944,中輸銀,2020/10,表現穩健,29.55,31711,151791,34949,704,167156,0,143950,23.02,0.46,0,11,50,50,0,143961,0.03,1980,39.60 ,1419,1213,206,694,110,2.834951456,0.001357129
2895,陽信銀,2020/10,風險承受度稍弱,13.08,28169,588621,36671,3359,379271,510214,374888,6.23,0.57,73.48,1326,1418,1344,73,376214,0.38,4566,3.22 ,9515,6465,3050,7183,3045,1.356721311,0.005181602
2897,王道銀行,2020/10,風險承受度稍弱,12.67,30330,337310,35106,1079,205401,255385,171836,10.41,0.32,67.29,862,862,855,7,172698,0.5,2449,2.84 ,7052,6540,512,1936,1275,1.291015625,0.001517892
5827,華泰銀行,2020/10,風險承受度稍弱,12.34,9738,150993,10267,281,85146,135416,84592,6.8,0.19,62.47,91,110,102,8,84682,0.13,1152,10.47 ,2098,1866,232,1608,634,4.198275862,0.001536495
5830,三信銀行,2020/10,風險承受度稍弱,13.07,9251,176605,12417,714,121452,158509,119094,7.03,0.4,75.13,202,236,193,43,119296,0.2,1780,7.54 ,3058,2355,703,2778,754,2.879089616,0.003980635
5835,國泰世華,2020/10,表現穩健,16.91,106986,3022042,237763,23121,1605191,2486128,1580565,7.87,0.77,63.58,1909,2427,1924,503,1582474,0.15,26662,10.99 ,77373,64086,13287,26122,8303,1.341085271,0.004396696
5836,台北富邦銀,2020/10,表現穩健,16.47,119124,2665551,209494,19145,1448954,2005971,1408347,7.86,0.72,70.21,2289,2527,2307,219,1410636,0.18,18180,7.19 ,61461,51528,9933,20435,9821,1.068559348,0.003726434
5838,華銀,2020/10,風險承受度稍弱,13.67,85915,2895131,197864,11807,1839659,2410178,1769969,6.83,0.41,73.44,2207,2290,1931,360,1772175,0.13,21054,9.19 ,46900,37816,9084,23514,8265,1.678665786,0.003137682
5841,中信銀,2020/10,表現穩健,14.93,147962,3728108,305541,27775,2105793,2969491,1992068,8.2,0.75,67.08,5162,5925,4855,1070,1997230,0.3,28464,4.80 ,108141,92488,15653,29670,9416,1.293937264,0.004198644
5843,兆豐商銀,2020/10,風險承受度稍弱,14.04,85362,3341937,290763,19125,2040451,2482814,1873019,8.7,0.57,75.44,4814,5520,4848,672,1877833,0.29,29679,5.38 ,35028,27582,7446,19932,8416,1.546602203,0.002228049
5844,一銀,2020/10,風險承受度稍弱,13.63,89064,3291991,215985,16237,1993201,2610973,1892426,6.56,0.49,72.48,4226,4259,3919,340,1896653,0.22,22323,5.24 ,112907,103498,9409,23490,8951,1.545222659,0.002858149
5847,玉山銀,2020/10,表現穩健,15.64,95241,2737461,174953,16558,1610416,2293356,1568991,6.39,0.6,68.41,2149,2979,2593,386,1571140,0.19,19328,6.49 ,54775,46791,7984,21455,8697,1.597945892,0.002916571
5848,台新銀,2020/10,表現穩健,16.28,86957,2094023,160370,12724,1306560,1612304,1241729,7.66,0.61,77.02,1908,2106,1678,428,1243637,0.17,16287,7.73 ,60312,52613,7699,20198,7855,1.60319522,0.003676655
5849,永豐銀行,2020/10,表現穩健,15.89,86061,1947167,137040,9580,1171414,1587627,1131841,7.04,0.49,71.29,1199,1759,1380,378,1133040,0.16,14448,8.21 ,38547,34206,4341,14510,7426,1.631882055,0.002229393
5850,日盛銀行,2020/10,表現穩健,15.81,18121,267498,22842,935,165411,232864,162881,8.54,0.35,69.95,333,437,336,101,163214,0.27,2070,4.74 ,4902,4226,676,2591,986,2.374260355,0.002527122
5852,元大銀,2020/10,表現穩健,16.98,73940,1408736,124306,8636,776607,1204923,756772,8.82,0.61,62.81,929,942,892,51,757701,0.12,11660,12.38 ,27802,22799,5003,12185,5025,1.431141315,0.003551411
5854,合庫,2020/10,表現穩健,15.42,104507,3787214,237788,13971,2451836,3153461,2335448,6.28,0.37,74.06,8151,7857,7396,460,2343600,0.34,28652,3.65 ,56272,47081,9191,33549,12999,2.235882929,0.00242685
5857,土銀,2020/10,風險承受度稍弱,12.89,73200,3059103,174523,9678,2153617,2633899,2095000,5.71,0.32,79.54,3031,3425,2936,490,2098031,0.16,33665,9.83 ,41235,34044,7191,30129,11822,2.545821165,0.002350689
5858,臺銀,2020/10,表現穩健,14.95,109000,5296683,377796,9470,2990467,4123121,2877817,7.13,0.18,69.8,3601,4871,3300,1571,2881418,0.17,44418,9.12 ,235351,229983,5368,36157,20832,2.854880775,0.001013464
5862,板信銀,2020/10,風險承受度稍弱,11.21,15087,262087,17370,927,172767,232127,168112,6.63,0.35,72.42,599,620,599,21,168711,0.37,2052,3.31 ,4184,3688,496,2919,1265,3.334677419,0.001892501
5863,瑞興銀,2020/10,風險承受度稍弱,12.68,3139,93348,5546,179,52767,71644,52082,5.94,0.19,72.7,90,129,101,29,52172,0.25,592,4.59 ,1356,1234,122,1150,417,6.008196721,0.001306937
5870,花旗台灣,2020/10,表現穩健,16.70,66033,831536,103991,8867,326354,657948,310388,12.51,1.07,47.18,110,1201,353,848,310498,0.39,5709,4.75 ,22043,15455,6588,9037,957,1.226472374,0.007922688
5872,匯豐台灣,2020/10,表現穩健,15.09,34800,645961,50538,3534,299033,449377,252056,7.82,0.55,56.09,29,66,35,31,252084,0.03,3289,49.83 ,13279,9918,3361,4794,2386,0.716453436,0.0052031
5875,星展台灣,2020/10,風險承受度稍弱,14.87,32250,434244,35511,678,300999,357964,267211,8.18,0.16,74.65,741,1116,924,192,267952,0.42,3565,3.19 ,9909,9574,335,5670,1616,12.10149254,0.000771456
5876,上海商銀,2020/10,風險承受度稍弱,13.36,44816,1381147,152613,12381,869400,1046422,769569,11.05,0.9,73.54,1569,1692,1608,84,771138,0.22,9709,5.74 ,25308,15857,9451,11810,4909,0.730187282,0.006842863
2801,彰銀,2020/09,風險承受度稍弱,13.83,103847,2215003,163577,6785,1540624,1827036,1461041,7.38,0.31,79.97,5362,5811,5257,554,1466403,0.4,18280,3.15 ,39334,33690,5644,17097,6811,1.822466336,0.002548078
2807,渣打銀行,2020/09,表現穩健,14.98,29106,673436,46345,2528,305389,555939,292923,6.88,0.38,52.69,127,280,143,138,293050,0.1,4739,16.93 ,13049,11267,1782,5659,2188,1.947811448,0.002646131
2809,京城銀,2020/09,表現穩健,15.92,11212,308954,42791,4196,180504,210319,173320,13.85,1.36,82.41,18,24,18,6,173337,0.01,2642,110.08 ,6270,3381,2889,2898,786,0.731048806,0.009350907
2812,台中銀,2020/09,風險承受度稍弱,13.21,39017,706129,53573,3407,476351,619291,454703,7.59,0.48,73.42,1431,1579,1440,138,456134,0.35,6797,4.30 ,10760,8049,2711,7974,2811,1.904463298,0.003839242
2834,臺企銀,2020/09,風險承受度稍弱,13.86,74886,1755775,97167,3789,1220494,1457340,1196073,5.53,0.22,82.07,4551,5000,4806,195,1200624,0.42,15616,3.12 ,21708,20140,1568,14806,6195,5.491709184,0.000893053
2836,高雄銀,2020/09,風險承受度稍弱,12.66,10809,269231,16172,675,181759,223353,177471,6.01,0.25,79.46,403,548,403,145,177875,0.31,2058,3.76 ,3639,3196,443,2394,1221,2.64785553,0.001645427
2837,凱基銀行,2020/09,表現穩健,14.71,46062,749916,63844,3483,410385,475049,372876,8.51,0.46,78.49,434,590,461,129,373310,0.16,4816,8.16 ,70857,69932,925,6270,2653,3.91027027,0.001233471
2838,聯邦銀,2020/09,表現穩健,14.19,32934,755618,57655,2785,441712,590432,419002,7.63,0.37,70.97,375,583,519,64,419377,0.14,4631,7.94 ,12999,11317,1682,7176,2773,2.617717004,0.002225992
2845,遠東銀,2020/09,風險承受度稍弱,13.07,34481,667707,48431,2578,438152,557847,404833,7.25,0.39,72.57,1296,1954,1851,103,406129,0.48,5868,3.00 ,13294,12228,1066,6064,3034,2.842401501,0.001596509
2849,安泰銀,2020/09,表現穩健,15.82,19579,312164,33867,1848,216570,260294,197734,10.85,0.59,75.97,2222,2247,2129,119,199956,1.12,3000,1.34 ,5531,4216,1315,3221,1504,1.305703422,0.004212529
2893,新光銀行,2020/09,表現穩健,14.26,46331,999054,68515,5268,652422,878188,631921,6.86,0.53,71.96,796,1212,1093,119,632717,0.19,8111,6.69 ,21820,18479,3341,10043,3607,1.92636935,0.003344164
28944,中輸銀,2020/09,表現穩健,29.76,31711,152340,34995,592,167514,0,144315,22.97,0.39,0,11,51,51,0,144326,0.04,1985,38.92 ,1287,1144,143,627,101,3.678321678,0.00093869
